nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT01086852,Phase 3,31/03/2011,Actual,0,2,0,0,0,,0,,0,6
NCT01089556,Phase 3,31/03/2010,Actual,146,136,8,2,,,0,,12,1304
NCT01098266,Phase 3,12/04/2010,Actual,0,2,4,0,,,0,,4,790
NCT01100502,Phase 3,30/04/2010,Actual,0,10,24,0,,,0,,6,618
NCT01101438,Phase 3,25/06/2010,Actual,34,198,334,26,,,0,,98,6608
NCT01103349,Phase 2,20/04/2010,Actual,0,58,8,0,16,,0,,22,868
NCT01105975,Phase 2,30/04/2010,Actual,0,2,40,0,38,,14,,184,1294
NCT01107444,Phase 2,31/05/2010,Actual,,2,12,,,,,,,310
NCT01107886,Phase 4,31/05/2010,Actual,102,3560,1136,44,7082,,3052,,276,50716
NCT01108510,Phase 3,30/04/2010,Actual,,,,,378,,,,10,996
NCT01114438,Not Applicable,31/10/2010,Actual,0,0,0,0,0,,0,,90,0
NCT01114503,Phase 2,07/07/2010,Actual,0,0,0,0,,,0,,0,2
NCT01118780,Phase 4,31/10/2010,Actual,70,0,10,0,204,,0,,4,876
NCT01120028,Phase 2/Phase 3,30/09/2010,Actual,,162,108,,,,,44,,2178
NCT01121666,Phase 3,30/06/2010,Actual,0,30,6,0,,,0,,16,692
NCT01122173,Not Applicable,31/07/2013,Actual,0,0,0,0,,,0,,13,137
NCT01122264,Phase 4,31/05/2010,Actual,0,0,20,0,,,2,,12,1506
NCT01123083,Phase 3,17/05/2010,Actual,4,6,6,0,,,12,,0,330
NCT01125566,Phase 3,22/06/2010,Actual,4,506,18,0,0,,0,,56,416
NCT01126580,Phase 3,31/05/2010,Actual,170,122,106,2,544,,14,,0,2270
NCT01126749,Phase 1/Phase 2,16/04/2010,Actual,0,0,0,0,16,,0,,4,336
NCT01127633,Phase 3,31/12/2010,Actual,0,572,58,0,,,10,,0,2274
NCT01135459,Phase 2,24/06/2010,Actual,2,10,70,,42,,,22,0,586
NCT01144338,Phase 3,18/06/2010,Actual,146,2904,1756,70,2268,,,,10,22350
NCT01145625,Phase 3,30/06/2010,Actual,2,22,18,2,,,0,,20,580
NCT01146652,Phase 3,21/06/2010,Actual,,140,98,,,,,314,,3494
NCT01148225,Phase 3,23/11/2010,Actual,,,,,77,,,,0,347
NCT01151423,Phase 2,31/01/2011,Actual,,,18,,,,,,,132
NCT01160211,Phase 3,05/05/2011,Actual,,,,,132,,,,0,578
NCT01160744,Phase 2,30/09/2010,Actual,,,,,12,,,,0,548
NCT01165229,Phase 3,02/08/2010,Actual,18,4868,292,12,,174,,1220,,21216
NCT01168973,Phase 3,31/12/2010,Actual,58,320,66,2,192,,0,,782,3592
NCT01169844,Phase 2,30/06/2010,Actual,,,,,2,,,56,,54
NCT01170663,Phase 3,31/12/2010,Actual,,,,,114,,,,0,1216
NCT01176266,Phase 2/Phase 3,31/07/2010,Actual,,,,,1,,,,5,63
NCT01177397,Phase 1/Phase 2,20/07/2010,Actual,,40,18,,32,,,8,88,718
NCT01178099,Phase 1,31/07/2010,Actual,0,2,32,0,4,,0,,0,66
NCT01178281,Phase 3,08/09/2010,Actual,2,92,10,2,8,,,6,96,852
NCT01185340,Phase 3,31/03/2011,Actual,6,12,202,0,124,,16,,430,3082
NCT01185353,Phase 2,31/10/2010,Actual,38,94,22,0,112,,0,,36,902
NCT01185548,Phase 1,31/07/2010,Actual,0,0,0,0,,,0,,0,4
NCT01193244,Phase 3,01/10/2010,Actual,,,,,394,,,,44,2682
NCT01193348,Phase 2,30/09/2010,Actual,0,2,0,0,,,0,,2,18
NCT01194973,Phase 2,31/07/2010,Actual,0,1,2,0,,,0,,0,38
NCT01197560,Phase 2/Phase 3,02/09/2010,Actual,,4,2,,,,,10,40,148
NCT01205152,Phase 2,30/04/2009,Actual,0,0,0,0,1,,0,,0,19
NCT01205438,Phase 3,31/01/2011,Actual,188,224,280,6,602,,68,,252,2876
NCT01207440,Phase 2,30/09/2010,Actual,4,118,50,,84,,,6,16,1518
NCT01211483,Phase 1/Phase 2,30/09/2010,Actual,0,2,4,0,,,2,,0,430
NCT01214421,Phase 3,26/05/2010,Actual,,,,,110,,,,218,1838
NCT01215968,Phase 1,30/09/2010,Actual,0,8,0,0,0,,0,,0,144
NCT01217476,Phase 3,31/12/2010,Actual,0,0,0,0,,,0,,2,412
NCT01221194,Not Applicable,31/10/2010,Actual,0,38,80,0,196,,10,,42,1158
NCT01227616,Phase 4,31/08/2013,Actual,28,56,176,10,216,,20,,0,666
NCT01230021,Phase 3,30/11/2010,Actual,0,3,1,0,0,,0,,0,8
NCT01230801,Phase 1/Phase 2,17/01/2011,Actual,,,,,2,,,,0,42
NCT01232127,Phase 4,28/02/2011,Actual,0,0,5,0,,,0,,0,20
NCT01235689,Phase 3,11/02/2011,Actual,0,10,10,0,,,4,12,,452
NCT01237678,Phase 1/Phase 2,30/11/2010,Actual,2,2,14,0,,,0,,2,328
NCT01239160,Not Applicable,02/11/2010,Actual,0,0,8,0,6,,0,,18,488
NCT01239797,Phase 3,20/06/2011,Actual,0,128,46,2,12,,,26,1160,1210
NCT01240694,Phase 3,09/12/2010,Actual,,5,22,,16,,,8,0,221
NCT01242111,Phase 1/Phase 2,30/11/2010,Actual,,,,,0,,,,0,20
NCT01242748,Phase 3,31/10/2010,Actual,110,2,20,0,,,0,,0,444
NCT01243411,Phase 3,30/11/2010,Actual,0,2,4,0,22,,0,,8,658
NCT01243424,Phase 3,11/11/2010,Actual,428,2122,648,16,2064,,0,,76,18778
NCT01245062,Phase 3,22/11/2010,Actual,,,,,,4,2,,,638
NCT01250145,Phase 1,30/11/2010,Actual,2,10,2,0,,,10,,0,478
NCT01250834,Phase 1,31/12/2010,Actual,0,1,1,0,0,,0,,0,52
NCT01252940,Phase 3,30/11/2010,Actual,,,,,164,,,,4,784
NCT01252953,Phase 3,30/06/2011,Actual,,17742,656,,470,,66,192,50268,52402
NCT01253811,Phase 3,31/01/2011,Actual,0,3,1,0,0,,0,,0,8
NCT01254630,Phase 3,24/06/2011,Actual,70,646,552,18,,,1202,,8,8074
NCT01257087,Not Applicable,31/12/2010,Actual,,,,,0,,,,0,70
NCT01259856,Phase 3,30/09/2011,Actual,0,6,14,2,,,0,,22,292
NCT01262352,Phase 2,31/01/2011,Actual,0,0,0,0,0,,0,,0,80
NCT01262898,Phase 2,03/05/2011,Actual,2,0,8,6,,,0,,0,142
NCT01265849,Phase 3,31/12/2010,Actual,0,360,4,0,0,,0,,990,2338
NCT01266018,Phase 2,31/01/2011,Actual,0,6,1,0,0,,0,,2,35
NCT01271504,Phase 1/Phase 2,19/07/2011,Actual,4,2,10,0,16,,0,,20,340
NCT01271725,Phase 2,24/05/2011,Actual,0,47,0,0,,,0,,0,27
NCT01271868,Phase 3,30/11/2010,Actual,0,7,0,0,,,0,,0,2
NCT01272232,Phase 3,01/06/2011,Actual,8,38,196,0,174,,0,,46,2922
NCT01275066,Phase 3,28/02/2011,Actual,,,,,76,,,,0,276
NCT01277601,Phase 4,30/04/2011,Actual,,,,,36,,,,6,1438
NCT01277666,Phase 3,20/12/2010,Actual,6,112,26,0,,,2,,4,1066
NCT01281189,Phase 3,31/03/2011,Actual,,22,26,,,,,26,32,1778
NCT01282424,Phase 2,18/03/2011,Actual,1,3,2,,6,,,8,3,227
NCT01285609,Phase 3,16/01/2011,Actual,2,428,12,0,,,0,,18,1038
NCT01286779,Phase 3,12/04/2011,Actual,,10,1,,,,,5,,99
NCT01288911,Phase 2,22/03/2011,Actual,,,,,8,,,,,742
NCT01290029,Phase 1,25/01/2011,Actual,,,,,5,,,,2,7
NCT01295827,Phase 1,04/03/2011,Actual,4,162,52,4,126,,8,,6,4678
NCT01296711,Phase 2,07/03/2011,Actual,0,0,38,0,,,0,,8,334
NCT01299727,Phase 1/Phase 2,01/03/2011,Actual,0,4,0,0,0,,0,,0,44
NCT01307098,Phase 1/Phase 2,25/04/2011,Actual,0,0,0,0,0,,0,,0,36
NCT01311648,Phase 3,09/06/2011,Actual,2,,8,,20,,2,,10,334
NCT01311687,Phase 3,11/03/2011,Actual,,8,14,,82,,,8,330,1378
NCT01314716,Phase 3,30/04/2011,Actual,,,,,24,,,,56,468
NCT01315678,Phase 3,29/02/2012,Actual,,,2,,16,,,8,,560
NCT01316276,Phase 3,05/10/2012,Actual,,,1,,5,,,,,200
NCT01316939,Phase 3,09/05/2011,Actual,2,34,6,0,,,0,,4,412
NCT01317875,Phase 1,31/03/2011,Actual,,24,,,,,,4,8,102
NCT01318993,Phase 3,01/04/2011,Actual,1,38,7,0,,,1,,0,351
NCT01319994,Phase 2/Phase 3,31/07/2012,Actual,,,,,0,,,,0,106
NCT01321541,Phase 3,20/04/2011,Actual,0,4,10,0,,,4,,2,604
NCT01322490,Phase 3,28/11/2011,Actual,2,40,130,2,80,,0,,12,4922
NCT01323530,Phase 1/Phase 2,26/01/2010,Actual,0,0,2,0,0,,0,,0,302
NCT01324310,Phase 1,01/04/2011,Actual,,,,,0,,,,0,15
NCT01332227,Phase 4,31/10/2011,Actual,,,,,12,,,,122,84
NCT01332266,Phase 1/Phase 2,19/09/2011,Actual,0,72,4,0,4,,0,,2,298
NCT01335009,Phase 2,16/05/2011,Actual,0,0,2,0,10,,0,,4,288
NCT01335399,Phase 3,04/08/2011,Actual,0,10,58,2,34,,0,,1152,1736
NCT01335620,Phase 4,30/04/2011,Actual,0,0,3,0,,,0,,0,16
NCT01335698,Phase 3,27/05/2011,Actual,,,114,,8,,,20,182,72
